mergeKey,classification,severity,action,comment
5f99a6754a54f1a8d6cfd722569d995c,Intentional,Unspecified,Ignore,JS going away
698a883c29cadb873303e2574009674a,Intentional,Unspecified,Ignore,JS going away
afb69a66885101c5d38d1ff83b5bd93d,Intentional,Unspecified,Ignore,JS going away
07dd95dfb44604673756ceb050fafb85,Intentional,Unspecified,Ignore,JS going away
6beea232843b8f13295dc65ed467a7d6,Intentional,Unspecified,Ignore,JS going away
5e5a0e677e06dba2bc1a58ebe3534e2a,Intentional,Unspecified,Ignore,JS going away
35bf0af4c60a31da90281ed252f27b2c,Intentional,Unspecified,Ignore,JS going away
0860c830e7fc084e156790c59409b06f,Bug,Moderate,Undecided,
208b072664498bede5f2696321a4580e,Bug,Moderate,Undecided,
90722d79527c4630ff6e43d9cb7f80d8,Bug,Moderate,Undecided,
8f65a3f7820f5617357806f3abf20911,Bug,Unspecified,Undecided,
7c769ea50b83ed6bfdd2989525bec9fa,Bug,Unspecified,Undecided,
05346108848302fcde2784d89f1e0590,Intentional,Unspecified,Ignore,JS going away
cd41e97d297e2c344ee0fb01efea9d06,Intentional,Unspecified,Ignore,JS going away
d7de842f99fa6231053223fafe51efad,Bug,Unspecified,Undecided,
77d57f37e2ba8077e6758d74e5262d60,Bug,Unspecified,Undecided,
a769db4c6253c1e63a188cc5adf35539,Bug,Unspecified,Undecided,
edce4ffdd73579f42ac5be20586025b1,Bug,Unspecified,Undecided,
11c14c5ba22cbf168340ff73f785549e,Intentional,Unspecified,Ignore,JS going away
65f7ed487e95c4507a369b88fd38581d,Intentional,Unspecified,Ignore,JS going away
37e493caeaabbf3b196f845c264fadf8,Intentional,Unspecified,Ignore,JS going away
d7c5e27fb156842b242bf0339c8bf5a4,Intentional,Unspecified,Ignore,JS going away
9395dff8b380605c039865a329d981a5,Bug,Unspecified,Undecided,
c07464941018c2d497d1a4e62bbfecf6,Intentional,Unspecified,Ignore,JS going away
ab53326b844ba3366cad6048607e1fd8,Bug,Unspecified,Undecided,
73773b164a5586a5ce69174a5bb5f5d5,Intentional,Unspecified,Ignore,JS going away
f489c13ad5c240496ee4e3f18c8dd242,Intentional,Unspecified,Ignore,JS going away
e7433f616e7e95021bd5bf6c304b9a32,Intentional,Unspecified,Ignore,JS going away
6f1c0c3c819ae901d39dbeac03b2e42f,Intentional,Unspecified,Ignore,JS going away
db91b2640f427e9d725fb6b99d81accb,Intentional,Unspecified,Ignore,JS going away
6c69d4fe84001670e0cc7e236a6a4ba5,Bug,Unspecified,Undecided,
10419cf7f7b5b7a40301dc4d47861d06,Bug,Unspecified,Undecided,
503d9482aa2a827f06ec769b99746222,Bug,Moderate,Undecided,
a469ea09bd3fc3bb53f836d040a09a94,False Positive,Unspecified,Undecided,
aa2c333f0ea806d0097407f18c3b19f0,Bug,Major,Undecided,
0ef31c4dfe44fd6c816a65a147056a75,Pending,Unspecified,Undecided,looks like bug but who knows
a023f5e5aa4028a6b541b9c7d7ed6449,Intentional,Unspecified,Undecided,opslog translates $inc to $set?
9c7725283cf46d7c09289a6737801a79,Intentional,Unspecified,Undecided,
